GIS_ID,BFSNR,GEMEINDE,PARZNR,FLURNAME,FLAECHE,NUTZUNGSCODE,NUTZUNG,SCHNITTZEITPUNKT,LZ_CODE,SLOPE_0,SLOPE_18,SLOPE_36,SLOPE_51,GRAPE_SL0,GRAPE_SL30,GRAPE_SL51,BFS_PARZ,BFS_NUM,SHAPE.AREA,SHAPE.LEN
30371,0261,Zürich,WD8563,Sihlfeld,35,0613,Übrige Dauerwiesen (ohne Weiden),,31,35,0,0,0,0,0,0,261_WD8563,261,3481.8518000000004,444.908038842177
25303,0261,Zürich,SE1209,Egg,8,0521,Silo- und Grünmais,,31,8,0,0,0,0,0,0,261_SE1209,261,784.771295,170.076597202269
25322,0261,Zürich,SE1224,Juch II,7,0502,Wintergerste,,31,7,0,0,0,0,0,0,261_SE1224,261,715.59273417,128.35313686818802
25315,0261,Zürich,SE1223,Juch,5,0502,Wintergerste,,31,5,0,0,0,0,0,0,261_SE1223,261,466.776925215,158.045016070103
29844,0261,Zürich,AL8108,Schwarz 1,31,0554,Einjährige gärtn. Freilandkult.(Blumen),,31,31,0,0,0,0,0,0,261_AL8108,261,3120.5463054,223.592041011182
29843,0261,Zürich,AL8108,Schwarz 1,33,0611,Extensiv genutzte Wiesen (ohne Weiden),15.0,31,33,0,0,0,0,0,0,261_AL8108,261,3280.3189396,237.279542872674
29845,0261,Zürich,AL8108,Schwarz 1,30,0613,Übrige Dauerwiesen (ohne Weiden),,31,30,0,0,0,0,0,0,261_AL8108,261,3041.57413374,323.013404258417
30375,0261,Zürich,WD8175,Sihlfeld,175,0613,Übrige Dauerwiesen (ohne Weiden),,31,175,0,0,0,0,0,0,261_WD8175,261,17540.87278,1892.7740827924501
25314,0261,Zürich,SE1221,Juch II,123,0502,Wintergerste,,31,123,0,0,0,0,0,0,261_SE1221,261,12262.122603865,548.340520155851
25302,0261,Zürich,SE1208,Egg,13,0521,Silo- und Grünmais,,31,13,0,0,0,0,0,0,261_SE1208,261,1258.7098745,150.795212765292
31224,0261,Zürich,RI5060,Lengg,10,0611,Extensiv genutzte Wiesen (ohne Weiden),,31,10,0,0,0,0,0,0,261_RI5060,261,1019.88544135,244.016783281718
31223,0261,Zürich,RI5060,Lengg,101,0548,Buchweizen,,31,101,0,0,0,0,0,0,261_RI5060,261,10137.2343071,510.75561244958004
29792,0261,Zürich,AL7143,Schwarz 2,18,0613,Übrige Dauerwiesen (ohne Weiden),,31,18,0,0,0,0,0,0,261_AL7143,261,1750.99496665,204.840822233421
25308,0261,Zürich,SE1218,Juch I,49,0502,Wintergerste,,31,49,0,0,0,0,0,0,261_SE1218,261,4880.44247634,288.056268974268
25307,0261,Zürich,SE1216,Juch,4,0502,Wintergerste,,31,4,0,0,0,0,0,0,261_SE1216,261,386.695677,92.3502578452235
25301,0261,Zürich,SE1207,ob Egg,56,0521,Silo- und Grünmais,,31,55,1,0,0,0,0,0,261_SE1207,261,5557.156109,435.630926043484
25327,0261,Zürich,SE5652,Juch,16,0502,Wintergerste,,31,16,0,0,0,0,0,0,261_SE5652,261,1603.23438926,205.745094587209
25326,0261,Zürich,SE5651,Juch,6,0502,Wintergerste,,31,6,0,0,0,0,0,0,261_SE5651,261,557.5109,113.650811485107
25324,0261,Zürich,SE1226,Juch,16,0502,Wintergerste,,31,16,0,0,0,0,0,0,261_SE1226,261,1640.30054408,218.629629219379
25304,0261,Zürich,SE1215,Hintere Egg,65,0521,Silo- und Grünmais,,31,64,1,0,0,0,0,0,261_SE1215,261,6523.575847,450.600111410998
