GRS_WALDOBJEKTE_ID,OBJNR,BFS,LABEL,VFGDAT,FK,SHAPE.AREA,SHAPE.LEN
852,11,261,261.11G,20170426,2,9831.77067232,897.361109999612
700,5,261,261.05G,20170426,2,100839.647804035,2330.11561139612
859,4,261,261.04G,20170426,2,3019.02842272,593.942442733781
839,24,261,261.24G,20170426,2,98205.808130925,6344.43893657449
2730,7,261,261.07G,20170426,2,78149.88671386501,1743.47116911465
821,40,261,261.40G,20170426,2,278303.77289984503,2851.96928470659
820,41,261,261.41G,20170426,2,237390.95323573,2387.53671018612
691,14,261,261.14G,20170426,2,1203.48718734,233.550887345347
980,15,261,261.15G,20170426,2,309823.17471169,9706.057733667241
697,9,261,261.09G,20170426,2,183936.365696485,4140.522260037181
819,42,261,261.42G,20170426,2,266453.86796798,2277.51531874456
858,3,261,261.03G,20170426,2,27897.471819655002,864.662543407113
841,26,261,261.26G,20170426,2,918.475885,362.956380681158
838,23,261,261.23G,20170426,2,28784.618227085,2221.50706301216
978,16,261,261.16G,20170426,2,20466.538114715,1563.46802246183
871,1,191,191.01G,20170426,2,100717.14802922,2322.63080825893
687,36,261,261.36G,20170426,2,104647.23108016,1753.56172050704
843,21,261,261.21G,20170426,2,472.13902635,184.666265247332
842,20,261,261.20G,20170426,2,23490.00164217,1265.0412769230602
854,13,261,261.13G,20170426,2,47163.522984495,1490.30365368825
698,8,261,261.08G,20170426,2,2648.305882855,591.3842022539951
818,37,261,261.37G,20170426,2,182165.17685889,2202.8641572053903
817,38,261,261.38G,20170426,2,17194.573343285,607.7335586267881
681,19,261,261.19G,20170426,2,1813.32907365,445.033280053123
680,44,261,261.44G,20170426,2,12380.736290384999,970.3968170905961
701,1,261,261.01G,20170426,2,86474.672986325,2480.93968881245
844,22,261,261.22G,20170426,2,2611.751953945,480.47486995067004
853,12,261,261.12G,20170426,2,4945.715667585,453.65847672813004
840,25,261,261.25G,20170426,2,889.158300965,316.188271283345
696,10,261,261.10G,20170426,2,54189.1988461,1305.01457844099
688,39,261,261.39G,20170426,2,766.658335105,142.1408132926
2703,1,13,13.01G,20170426,1,413698.98180659,5737.8929720938095
689,35,261,261.35G,20170426,2,2724.64915027,271.326052857695
682,43,261,261.43G,20170426,2,26501.67223475,1513.67790445133
699,6,261,261.06G,20170426,2,152047.91348492,1995.54328431075
829,2,261,261.02G,20170426,2,53083.441034285,1502.96396800004
979,17,261,261.17G,20170426,2,21130.56657176,1437.37965667088
781,3,161,161.03G,20170426,2,73429.733827815,3245.58743281778
