,E,N,name,type
0,8.54312929845034,47.3669332157321,Quaibrücke,Sighting Point
1,8.5435445727047,47.3701617824374,Grossmünster,Sighting Point
2,8.53067557004656,47.356632153372,Rieterpark,Sighting Point
3,8.59897083942133,47.3697658176582,Loorenkopf,Sighting Point
4,8.47844007033323,47.4072108715946,Eggbühl (Höngg),Sighting Point
5,8.48046225853882,47.4050567762459,Frankental (Höngg),Sighting Point
6,8.48918904011109,47.4096762439071,Ruggerenweg (Höngg),Sighting Point
7,8.49641891541143,47.4012265708959,Reformierte Kirche Höngg (Promenade),Sighting Point
8,8.50643848333522,47.4029166905544,Müseliweg (Höngg),Sighting Point
9,8.52738685855746,47.3966798391736,Reformierte Kirche Wipkingen,Sighting Point
10,8.53001707631097,47.3985142112473,Obere Waidstrasse Weihersteig - Im Rehsprung (Wipkingen),Sighting Point
11,8.57328804349482,47.3987872491308,Ziegelhütte (Schwamendingen),Sighting Point
12,8.59015771262777,47.3968866126984,Erholungsanlage Mattenhof (Stettbach),Sighting Point
13,8.53719313904132,47.4313640860077,Köschenrüti (Seebach),Sighting Point
14,8.47463756768834,47.380889020106,Lyren-Weg (Altstetten),Sighting Point
15,8.54121859070762,47.3729274648173,Lindenhof (Altstadt),Sighting Point
16,8.54650016678256,47.3761532347156,Polyterrasse (Universitätsviertel),Sighting Point
17,8.56817329149034,47.3667581042753,Sonnenberg,Sighting Point
18,8.55791055371313,47.3753013401205,Gloriastrasse-Himmelsleiterli (Fluntern),Sighting Point
19,8.57501966546533,47.372000091219,Dolder (Hottingen),Sighting Point
20,8.58963202657034,47.3811199768193,Tobelhof bei Gockhausen,Sighting Point
21,8.55248928157088,47.3526641648173,Zürihorn,Sighting Point
22,8.49136728333422,47.3495048317811,Üetliberg,Sighting Point
23,8.4821169218323,47.3712058787284,Hagenbuchrain (Albisrieden),Sighting Point
24,8.52772220508978,47.3613493632022,Katharinenweg (Enge),Sighting Point
25,8.54901305791692,47.3675044470016,Hohe Promenade (Stadelhofen),Sighting Point
26,8.58927457264959,47.3648939837944,Looren (Adlisberg),Sighting Point
27,8.48984890328638,47.3547227394578,Gratweg (Üetliberg),Sighting Point
28,8.49808727182062,47.3566520931063,Friesenberg (Wiedikon),Sighting Point
29,8.51749223516812,47.3559380955201,Albisgütliweg (Wiedikon),Sighting Point
30,8.52610287583861,47.3504875100525,Muggenbühlstrasse (Wollishofen),Sighting Point
31,8.5293804645178,47.3587359011015,Rieterpark (Enge),Sighting Point
32,8.56598126925272,47.3553576155135,Burghölzli (Riesbach),Sighting Point
33,8.5871347778892,47.3559912809251,Segetenweg (Witikon),Sighting Point
34,8.4697547155912,47.4174808471743,Sonnenbergstrasse (Rütihof),Sighting Point
35,8.48453465360835,47.4161044789258,Heizenholz (Höngg),Sighting Point
36,8.50840455721149,47.3306411763008,Waldrandspazierweg (Unterleimbach),Sighting Point
37,8.52186065769241,47.3349348137077,Äntlisberg (Wollishofen),Sighting Point
38,8.53683739194758,47.3340534669919,Bühl (Wollishofen),Sighting Point
39,8.50164394044082,47.4156188196655,Plätschweg-Hungerberg (Ober-Affoltern),Sighting Point
40,8.53092155046347,47.421839788419,Schwandholz (Seebach),Sighting Point
41,8.54092691788069,47.419295778515,Buhn (Seebach),Sighting Point
42,8.50214250796125,47.4304966340878,Äbnet (Unter-Affoltern),Sighting Point
43,8.49142775718179,47.3495567052474,Uetliberg,Sighting Point
44,8.54944909818889,47.393245532621,Irchelpark,Sighting Point
45,8.53691937643868,47.3495728398042,Saffainsel,Sighting Point
46,8.53908380262242,47.3650434936282,General-Guisan-Quai,Sighting Point
